IdProducto,Descripcion
1000075,Agiolax Granulado X 100G
100013303454,Paño Clin Multiuso Amarillo X 1 Unidad
1000133803430,Paño Clin Multiuso Azul X 1 Unidad
1000133803461,Toallas De Papel Seda+ Multiuso 60 Hojas X 3 Rollos
10021,Alcoderm Crema Tratamiento De Infecciones Cutaneas X 20G
10022,Alcoderm Crema X 10G
1003214,Arcor Helado Cofler Almendras X 63G
1003972,Arcor Helado Cono Bon O Bon X 106G
10061,Alergin Jbe X 60Ml Clorfeniramina
10070738743590,Tegaderm + Pad 3591 9Cm X 25Cm
100707387582753,Tegaderm Iv Advanced 1683 6.5Cm X 7Cm
100707387582777,Tegaderm Iv Advanced 1685 8.5Cm X 11.5Cm
100707387583644,Tegaderm Iv Advanced 1688 10Cm X 12Cm
100707387770549,Tegaderm Iv Advanced 1682 5Cm X 5.7Cm
100707387771454,Tegaderm Iv Advanced 1680 3.8Cm X 4.5Cm
100707387782177,Tegaderm Chg 1657R 8.5Cm X 11.5Cm
10082,Cotrim Clotrimazol 0.01 Crema Dermica X 20G
1011903328,Byl Renu Plus Multipropósito Fresh X 500Ml
1011905213,Byl Renu Gotas Lubricante X 8Ml
10124,Maca Forte X 70 Cap Suplemento Nutricional
10129,Aforex Albendazol 400Mg Ampolla X 10Ml
10130,Nutrison Inf Jbe X 100Ml Suplemento Vitaminico
10171,Anara 7.5Mg Ml Gotas X 20Ml Picosulfato
10172,Anara 5Mg 5Ml Jbe X 125Ml Picosulfato
10176,Anara 5Mg Picosulfato X Tableta
10181,Antifludes X Capsula
1018109,Solquifar Colageno Hidrolizado Sqf X 300G Frutos Rojos
1018209,Solquifar Colageno Hidrolizado Sqf X300g Nar/Manz
10185,Antifludes Jbe X 60Ml Junior
10186,Antifludes Inf Gota X 30Ml
1018609,Colágeno Marino Solquifar Hidrolizado Sabor Uva X 300G
1018709,Colágeno Marino Hidrolizado Solquifar Durazno X 300G
10261,Ciproxan Ciprofloxacina 500Mg X Tableta
10304,Flamadol Gel Diclofenaco Sódico 0.01 X 50G
10334,Fisiologico 0.9% Env X 500Ml Generico
104001,Calciofar B12 Susp X 120Ml Indufar
104002,Dermafar Pda Dermica Cicatrizante X 35G
104003,Clinomin Dihidroxiprogesterona Acetofenido 150Mg Y Estradiol Enantato 10Mg X Ampolla
104007,Memovital B12 Jbe X 120Ml
104009,Piromed Relax X Tableta
104010,Z Cal 1000 Gel Diclofenaco Sodico 0.02 X 35G
104015,Mento Vick Rub Crema Salicilato De Metilo 0.013 Y Mentol 0.06 X 35G
104016,Broncofar X 120Ml
104018,Entel Plus Albendazol 400Mg Y 10Ml X Ampolla
104019,Justum Cefotaxima 1G X Ampolla
104020,Inducort Dexametasona Fosfato 8Mg Y 2Ml X Ampolla
104022,Hontocal 20 Ketorolaco 20Mg X Tableta
104023,Cimafix 100Mg 5Ml Susp X 100Ml Cefixima
104024,Emetan 10Mg Ml Gotas X 15Ml Domperidona
104028,Cimafix 400Mg Cefixima X Tableta
104045,Pramil 50Mg Sildenafil X Tableta
104046,Flamirex Diclofenaco 50Mg X Tableta
10404696395878,Linovera X 30Ml
104049,Temisar 80Mg Telmisartan X Tableta
104050,Temisar 40Mg Telmisartan X Tableta
104051,Hipolip 400Mg Bezafibrato X Tableta
104052,Higerdil 25Mg Carvedilol X Tableta
10406,Meladinina 10Mg Metoxaleno X Tableta
10412,Alin Dexametasona 8Mg Y 2Ml X Ampolla
10415,Alin Depot Dexametasona 8Mg Y 2Ml X Ampolla
